zona,hora,dia_semana,clima,evento_especial,nivel_trafico
Calzada Roosevelt,15,Martes,Soleado,0,Moderado
Zona 1,19,Domingo,Soleado,0,Moderado
Zona 1,17,Domingo,Soleado,0,Moderado
Zona 4,1,Miércoles,Soleado,0,Bajo
Periférico,13,Sábado,Nublado,0,Moderado
Zona 12,0,Lunes,Soleado,0,Bajo
Zona 10,17,Domingo,Nublado,1,Alto
Zona 12,21,Jueves,Nublado,0,Moderado
Zona 10,11,Sábado,Nublado,0,Bajo
Zona 1,9,Lunes,Lluvia,0,Alto
Zona 12,22,Domingo,Nublado,1,Bajo
Zona 4,22,Martes,Soleado,0,Bajo
Zona 10,14,Miércoles,Nublado,0,Moderado
Calzada Roosevelt,16,Martes,Soleado,0,Alto
Zona 4,4,Martes,Soleado,0,Bajo
Periférico,2,Viernes,Nublado,0,Moderado
Zona 4,16,Martes,Nublado,0,Moderado
Zona 1,23,Viernes,Soleado,0,Moderado
Zona 4,18,Viernes,Soleado,0,Moderado
Periférico,21,Domingo,Soleado,0,Bajo
Zona 12,12,Lunes,Lluvia,0,Moderado
Periférico,3,Domingo,Nublado,0,Bajo
Zona 1,6,Lunes,Soleado,0,Alto
Periférico,8,Lunes,Soleado,0,Alto
Zona 1,10,Miércoles,Nublado,0,Alto
Calzada Roosevelt,9,Lunes,Lluvia,0,Alto
Calzada Roosevelt,22,Lunes,Nublado,0,Bajo
Calzada Roosevelt,19,Lunes,Lluvia,0,Alto
Zona 1,21,Domingo,Soleado,0,Bajo
Calzada Roosevelt,21,Miércoles,Soleado,1,Moderado
Periférico,23,Miércoles,Lluvia,0,Moderado
Calzada Roosevelt,17,Viernes,Soleado,0,Moderado
Calzada Roosevelt,19,Sábado,Soleado,0,Moderado
Zona 12,1,Viernes,Lluvia,0,Bajo
Zona 1,16,Viernes,Soleado,0,Alto
Zona 10,19,Miércoles,Soleado,0,Moderado
Zona 4,19,Viernes,Lluvia,0,Moderado
Zona 12,16,Domingo,Soleado,0,Bajo
Zona 10,23,Domingo,Lluvia,0,Bajo
Zona 4,12,Jueves,Soleado,1,Moderado
Zona 1,17,Viernes,Nublado,0,Alto
Calzada Roosevelt,18,Lunes,Soleado,0,Moderado
Zona 1,16,Miércoles,Soleado,0,Alto
Periférico,21,Martes,Lluvia,0,Moderado
Zona 10,6,Domingo,Soleado,0,Moderado
Zona 10,19,Sábado,Nublado,0,Moderado
Calzada Roosevelt,16,Martes,Nublado,0,Alto
Zona 4,17,Lunes,Soleado,0,Moderado
Zona 1,16,Jueves,Soleado,0,Moderado
Zona 4,18,Sábado,Soleado,0,Moderado
Zona 12,23,Domingo,Nublado,0,Bajo
Zona 4,14,Jueves,Soleado,0,Bajo
Zona 10,3,Sábado,Lluvia,0,Moderado
Zona 1,12,Jueves,Nublado,0,Alto
Calzada Roosevelt,17,Domingo,Nublado,0,Alto
Calzada Roosevelt,8,Miércoles,Soleado,0,Alto
Zona 12,10,Viernes,Soleado,0,Moderado
Calzada Roosevelt,13,Martes,Soleado,0,Moderado
Zona 12,2,Sábado,Soleado,0,Bajo
Periférico,19,Sábado,Nublado,0,Alto
Zona 4,6,Domingo,Nublado,0,Moderado
Zona 12,13,Domingo,Lluvia,0,Bajo
Calzada Roosevelt,12,Sábado,Soleado,0,Moderado
Zona 4,9,Lunes,Nublado,0,Moderado
Zona 1,10,Miércoles,Nublado,0,Alto
Zona 1,4,Miércoles,Soleado,0,Bajo
Zona 10,5,Jueves,Soleado,0,Bajo
Zona 10,21,Domingo,Soleado,0,Bajo
Zona 1,3,Domingo,Nublado,0,Bajo
Zona 4,0,Jueves,Soleado,0,Bajo
Zona 10,5,Lunes,Soleado,0,Bajo
Periférico,12,Martes,Soleado,1,Alto
Zona 10,13,Martes,Soleado,0,Bajo
Zona 12,17,Miércoles,Soleado,0,Moderado
Zona 4,3,Viernes,Nublado,1,Moderado
Zona 10,20,Lunes,Soleado,0,Bajo
Zona 12,8,Sábado,Nublado,0,Alto
Zona 12,19,Lunes,Nublado,0,Moderado
Calzada Roosevelt,8,Miércoles,Soleado,1,Alto
Zona 4,13,Sábado,Soleado,0,Bajo
Zona 1,1,Martes,Soleado,0,Bajo
Calzada Roosevelt,5,Martes,Nublado,0,Moderado
Zona 12,4,Viernes,Nublado,1,Moderado
Calzada Roosevelt,18,Jueves,Soleado,1,Alto
Zona 12,2,Lunes,Lluvia,0,Moderado
Periférico,1,Viernes,Lluvia,1,Alto
Zona 1,1,Martes,Lluvia,0,Moderado
Zona 4,15,Miércoles,Soleado,0,Moderado
Zona 4,1,Viernes,Soleado,0,Bajo
Zona 4,2,Jueves,Nublado,0,Bajo
Calzada Roosevelt,20,Miércoles,Nublado,0,Moderado
Zona 10,1,Domingo,Soleado,0,Bajo
Zona 4,20,Miércoles,Nublado,0,Bajo
Zona 1,23,Viernes,Soleado,0,Moderado
Zona 1,0,Sábado,Lluvia,0,Bajo
Calzada Roosevelt,21,Domingo,Soleado,0,Bajo
Zona 12,11,Viernes,Soleado,0,Bajo
Zona 1,0,Martes,Soleado,0,Bajo
Zona 1,3,Viernes,Soleado,0,Moderado
Zona 10,7,Domingo,Soleado,0,Moderado
Zona 12,14,Jueves,Soleado,0,Moderado
Zona 4,13,Martes,Soleado,1,Moderado
Periférico,4,Jueves,Soleado,0,Moderado
Periférico,12,Lunes,Lluvia,0,Moderado
Calzada Roosevelt,23,Jueves,Lluvia,0,Moderado
Zona 12,8,Viernes,Nublado,0,Alto
Zona 10,2,Lunes,Lluvia,0,Moderado
Zona 4,3,Lunes,Soleado,0,Bajo
Periférico,23,Viernes,Lluvia,0,Moderado
Zona 10,23,Jueves,Nublado,1,Moderado
Periférico,11,Jueves,Soleado,0,Moderado
Calzada Roosevelt,19,Jueves,Soleado,0,Alto
Zona 12,15,Domingo,Soleado,0,Bajo
Zona 4,7,Domingo,Soleado,0,Moderado
Zona 4,17,Sábado,Nublado,1,Alto
Periférico,6,Domingo,Nublado,0,Moderado
Zona 1,7,Martes,Nublado,0,Alto
Zona 1,15,Domingo,Soleado,1,Moderado
Periférico,7,Domingo,Soleado,0,Moderado
Zona 4,19,Domingo,Nublado,0,Moderado
Zona 12,10,Sábado,Soleado,0,Bajo
Zona 1,1,Sábado,Soleado,0,Bajo
Zona 12,23,Domingo,Nublado,0,Bajo
Zona 12,15,Miércoles,Soleado,0,Bajo
Zona 12,0,Lunes,Soleado,0,Bajo
Zona 12,8,Jueves,Soleado,0,Moderado
Zona 10,8,Domingo,Lluvia,1,Alto
Periférico,9,Martes,Nublado,0,Alto
Zona 1,22,Lunes,Soleado,0,Moderado
Zona 12,3,Miércoles,Nublado,0,Moderado
Zona 4,4,Viernes,Soleado,0,Bajo
Zona 10,18,Jueves,Nublado,0,Alto
Periférico,11,Viernes,Nublado,0,Moderado
Zona 4,17,Jueves,Soleado,0,Moderado
Zona 12,22,Martes,Nublado,0,Bajo
Zona 1,3,Sábado,Soleado,0,Bajo
Periférico,23,Domingo,Soleado,0,Bajo
Zona 1,16,Domingo,Soleado,0,Moderado
Zona 12,9,Viernes,Soleado,0,Moderado
Zona 12,0,Viernes,Lluvia,1,Alto
Zona 1,7,Miércoles,Soleado,0,Moderado
Periférico,17,Viernes,Soleado,0,Moderado
Zona 4,2,Jueves,Soleado,0,Bajo
Zona 4,11,Miércoles,Soleado,0,Bajo
Zona 12,20,Jueves,Lluvia,0,Bajo
Calzada Roosevelt,9,Lunes,Soleado,0,Alto
Zona 1,3,Miércoles,Soleado,0,Bajo
Zona 1,4,Jueves,Soleado,0,Bajo
Zona 12,7,Sábado,Soleado,0,Moderado
Zona 10,4,Lunes,Nublado,1,Moderado
Zona 10,14,Martes,Soleado,1,Moderado
Zona 4,21,Lunes,Soleado,0,Bajo
Calzada Roosevelt,0,Domingo,Soleado,0,Bajo
Zona 4,1,Jueves,Soleado,1,Moderado
Zona 1,21,Sábado,Lluvia,0,Bajo
Zona 1,10,Lunes,Soleado,0,Moderado
Zona 4,13,Sábado,Soleado,0,Bajo
Calzada Roosevelt,11,Miércoles,Soleado,0,Moderado
Zona 10,21,Miércoles,Soleado,1,Bajo
Zona 12,14,Viernes,Lluvia,0,Alto
Periférico,22,Martes,Soleado,0,Moderado
Zona 10,10,Sábado,Nublado,0,Bajo
Zona 10,9,Viernes,Soleado,0,Alto
Periférico,9,Jueves,Nublado,0,Alto
Zona 12,0,Jueves,Soleado,0,Bajo
Periférico,4,Miércoles,Nublado,0,Moderado
Zona 1,17,Miércoles,Soleado,1,Alto
Zona 1,5,Martes,Soleado,0,Moderado
Zona 10,8,Miércoles,Lluvia,0,Alto
Zona 4,7,Lunes,Nublado,0,Moderado
Zona 1,22,Sábado,Soleado,0,Bajo
Zona 12,18,Lunes,Nublado,0,Alto
Calzada Roosevelt,8,Sábado,Soleado,0,Alto
Zona 10,17,Viernes,Soleado,0,Moderado
Zona 1,3,Martes,Nublado,0,Moderado
Zona 1,13,Martes,Soleado,0,Moderado
Zona 1,18,Viernes,Lluvia,1,Alto
Zona 12,6,Sábado,Nublado,1,Alto
Zona 4,23,Miércoles,Soleado,0,Bajo
Zona 10,5,Viernes,Nublado,1,Moderado
Zona 10,19,Sábado,Nublado,0,Moderado
Zona 4,21,Jueves,Soleado,0,Bajo
Zona 10,5,Miércoles,Soleado,0,Bajo
Zona 1,1,Miércoles,Soleado,0,Bajo
Zona 4,20,Viernes,Soleado,0,Bajo
Zona 1,7,Lunes,Nublado,0,Alto
Periférico,7,Lunes,Soleado,0,Alto
Zona 4,21,Martes,Nublado,0,Bajo
Zona 10,13,Jueves,Nublado,0,Moderado
Calzada Roosevelt,19,Lunes,Soleado,0,Alto
Periférico,23,Lunes,Nublado,0,Moderado
Zona 4,22,Domingo,Nublado,0,Bajo
Periférico,21,Miércoles,Nublado,0,Moderado
Zona 10,0,Viernes,Nublado,0,Bajo
Calzada Roosevelt,6,Lunes,Soleado,1,Alto
Calzada Roosevelt,11,Jueves,Soleado,0,Moderado
Calzada Roosevelt,12,Martes,Lluvia,0,Moderado
Calzada Roosevelt,4,Jueves,Lluvia,0,Moderado
Calzada Roosevelt,8,Martes,Lluvia,0,Alto
Periférico,2,Miércoles,Lluvia,0,Moderado
Periférico,17,Martes,Nublado,0,Alto
Periférico,14,Lunes,Soleado,0,Moderado
Zona 1,15,Jueves,Soleado,0,Moderado
Zona 1,11,Viernes,Lluvia,0,Alto
Zona 1,10,Jueves,Nublado,0,Moderado
Zona 1,1,Jueves,Soleado,0,Bajo
Zona 1,8,Jueves,Lluvia,0,Alto
Zona 1,18,Domingo,Nublado,0,Alto
Calzada Roosevelt,12,Sábado,Nublado,0,Moderado
Periférico,13,Jueves,Soleado,0,Moderado
Calzada Roosevelt,14,Martes,Soleado,0,Moderado
Zona 12,0,Lunes,Soleado,0,Bajo
Periférico,21,Martes,Soleado,1,Moderado
Zona 10,5,Sábado,Nublado,0,Bajo
Zona 10,1,Domingo,Nublado,0,Bajo
Zona 12,3,Martes,Nublado,0,Bajo
Zona 10,16,Miércoles,Soleado,0,Moderado
Zona 4,2,Martes,Nublado,0,Bajo
Zona 10,11,Viernes,Lluvia,0,Alto
Zona 10,5,Domingo,Lluvia,0,Bajo
Zona 12,4,Viernes,Soleado,0,Bajo
Periférico,13,Sábado,Soleado,0,Bajo
Zona 10,22,Viernes,Soleado,1,Moderado
Zona 1,7,Domingo,Lluvia,0,Alto
Zona 12,18,Domingo,Lluvia,0,Alto
Zona 1,19,Domingo,Lluvia,1,Alto
Zona 10,0,Domingo,Soleado,0,Bajo
Calzada Roosevelt,23,Viernes,Nublado,1,Alto
Zona 10,17,Lunes,Soleado,0,Moderado
Zona 12,8,Martes,Nublado,0,Alto
Zona 1,9,Martes,Soleado,0,Alto
Periférico,9,Lunes,Soleado,0,Alto
Zona 1,19,Jueves,Soleado,0,Alto
Zona 4,23,Lunes,Soleado,0,Bajo
Calzada Roosevelt,4,Viernes,Lluvia,0,Moderado
Zona 4,19,Miércoles,Nublado,0,Alto
Zona 4,9,Lunes,Soleado,0,Moderado
Zona 12,0,Lunes,Soleado,1,Bajo
Zona 4,18,Miércoles,Soleado,0,Moderado
Calzada Roosevelt,11,Domingo,Nublado,0,Moderado
Zona 4,15,Viernes,Soleado,0,Moderado
Zona 4,17,Jueves,Soleado,0,Moderado
Calzada Roosevelt,18,Miércoles,Soleado,0,Alto
Zona 12,3,Sábado,Lluvia,0,Moderado
Zona 10,1,Lunes,Nublado,0,Bajo
Calzada Roosevelt,12,Viernes,Soleado,0,Moderado
Periférico,0,Martes,Soleado,0,Bajo
Periférico,10,Domingo,Soleado,0,Bajo
Zona 1,14,Jueves,Lluvia,0,Alto
Periférico,5,Viernes,Nublado,0,Moderado
Calzada Roosevelt,16,Domingo,Soleado,0,Moderado
Zona 12,4,Domingo,Soleado,0,Bajo
Periférico,21,Jueves,Nublado,0,Moderado
Zona 1,14,Sábado,Soleado,0,Moderado
Zona 10,4,Miércoles,Lluvia,0,Moderado
Periférico,21,Lunes,Soleado,0,Moderado
Zona 1,17,Lunes,Nublado,0,Alto
Zona 10,14,Sábado,Soleado,0,Bajo
Periférico,17,Martes,Soleado,0,Alto
Zona 4,2,Martes,Soleado,0,Bajo
Zona 12,1,Martes,Soleado,0,Bajo
Zona 1,19,Lunes,Soleado,0,Alto
Zona 10,6,Jueves,Soleado,0,Moderado
Periférico,14,Miércoles,Lluvia,0,Alto
Zona 4,23,Miércoles,Lluvia,0,Bajo
Zona 10,13,Domingo,Soleado,1,Moderado
Zona 12,0,Sábado,Soleado,0,Bajo
Calzada Roosevelt,3,Domingo,Lluvia,0,Moderado
Periférico,20,Domingo,Soleado,0,Bajo
Zona 1,12,Martes,Nublado,0,Moderado
Calzada Roosevelt,20,Domingo,Nublado,0,Bajo
Zona 10,4,Sábado,Lluvia,0,Bajo
Zona 4,4,Viernes,Nublado,0,Bajo
Zona 12,22,Jueves,Soleado,0,Bajo
Zona 12,14,Martes,Soleado,0,Bajo
Calzada Roosevelt,10,Miércoles,Nublado,0,Moderado
Calzada Roosevelt,0,Miércoles,Nublado,0,Moderado
Zona 4,21,Viernes,Lluvia,0,Bajo
Zona 1,16,Miércoles,Soleado,0,Alto
Calzada Roosevelt,12,Miércoles,Nublado,0,Alto
Calzada Roosevelt,15,Lunes,Soleado,0,Moderado
Zona 10,18,Viernes,Soleado,0,Moderado
Zona 10,7,Miércoles,Nublado,0,Alto
Zona 4,17,Lunes,Soleado,0,Moderado
Zona 12,0,Miércoles,Soleado,0,Bajo
Zona 1,7,Miércoles,Nublado,0,Alto
Periférico,19,Miércoles,Soleado,0,Alto
Zona 1,9,Lunes,Nublado,0,Alto
Zona 1,11,Sábado,Lluvia,1,Alto
Zona 12,9,Jueves,Soleado,0,Moderado
Calzada Roosevelt,8,Viernes,Nublado,0,Alto
Calzada Roosevelt,19,Jueves,Soleado,0,Alto
Zona 1,23,Domingo,Nublado,0,Bajo
Zona 4,3,Viernes,Soleado,0,Bajo
Zona 4,17,Viernes,Nublado,1,Alto
Calzada Roosevelt,0,Jueves,Soleado,0,Moderado
Zona 1,12,Domingo,Soleado,0,Moderado
Zona 10,13,Domingo,Nublado,0,Bajo
Periférico,19,Sábado,Nublado,0,Alto
Zona 1,20,Martes,Soleado,0,Bajo
Zona 12,1,Jueves,Nublado,0,Bajo
Calzada Roosevelt,13,Viernes,Soleado,0,Moderado
Calzada Roosevelt,5,Domingo,Soleado,0,Bajo
Periférico,13,Domingo,Soleado,0,Bajo
Periférico,8,Martes,Soleado,0,Moderado
Zona 12,7,Martes,Soleado,0,Alto
Zona 4,7,Lunes,Nublado,0,Moderado
Zona 10,17,Miércoles,Nublado,0,Alto
Periférico,14,Sábado,Nublado,0,Moderado
Zona 4,21,Lunes,Nublado,0,Bajo
Zona 4,11,Lunes,Nublado,0,Bajo
Zona 1,2,Viernes,Nublado,0,Moderado
Zona 4,23,Miércoles,Soleado,0,Bajo
Zona 4,8,Miércoles,Lluvia,0,Alto
Calzada Roosevelt,2,Viernes,Nublado,0,Moderado
Periférico,0,Martes,Soleado,0,Bajo
Periférico,6,Sábado,Soleado,0,Moderado
Zona 1,19,Miércoles,Soleado,0,Moderado
Calzada Roosevelt,19,Sábado,Lluvia,0,Alto
Calzada Roosevelt,3,Miércoles,Soleado,0,Moderado
Zona 12,19,Lunes,Soleado,0,Alto
Zona 1,2,Viernes,Nublado,0,Bajo
Zona 4,17,Sábado,Nublado,0,Moderado
Calzada Roosevelt,23,Martes,Soleado,0,Moderado
Zona 12,20,Viernes,Soleado,0,Bajo
Periférico,18,Martes,Soleado,0,Moderado
Periférico,20,Sábado,Lluvia,0,Moderado
Periférico,0,Viernes,Soleado,0,Moderado
Zona 4,0,Lunes,Nublado,0,Bajo
Zona 10,23,Viernes,Soleado,0,Bajo
Calzada Roosevelt,7,Viernes,Nublado,0,Alto
Calzada Roosevelt,4,Miércoles,Soleado,0,Moderado
Zona 12,16,Sábado,Soleado,0,Moderado
Zona 1,13,Jueves,Lluvia,1,Alto
Zona 4,21,Martes,Nublado,0,Bajo
Zona 12,12,Miércoles,Soleado,0,Moderado
Zona 12,2,Sábado,Soleado,0,Bajo
Zona 4,16,Domingo,Lluvia,1,Alto
Zona 1,20,Lunes,Soleado,0,Bajo
Zona 1,14,Domingo,Lluvia,0,Moderado
Periférico,5,Domingo,Soleado,0,Bajo
Zona 4,21,Viernes,Lluvia,0,Moderado
Zona 10,7,Jueves,Soleado,0,Moderado
Zona 10,22,Miércoles,Nublado,0,Bajo
Zona 1,11,Miércoles,Soleado,0,Moderado
Zona 4,17,Jueves,Soleado,0,Moderado
Zona 12,8,Martes,Soleado,0,Moderado
Zona 4,23,Sábado,Nublado,0,Bajo
Zona 4,22,Jueves,Lluvia,0,Bajo
Zona 12,17,Lunes,Lluvia,0,Alto
Calzada Roosevelt,4,Domingo,Soleado,0,Bajo
Zona 12,6,Viernes,Lluvia,0,Alto
Periférico,19,Lunes,Nublado,0,Alto
Zona 1,2,Miércoles,Soleado,0,Bajo
Periférico,14,Viernes,Lluvia,0,Alto
Calzada Roosevelt,1,Sábado,Soleado,0,Bajo
Zona 12,14,Miércoles,Soleado,0,Moderado
Zona 12,17,Miércoles,Nublado,0,Alto
Calzada Roosevelt,21,Jueves,Soleado,0,Bajo
Zona 12,5,Jueves,Soleado,0,Bajo
Zona 4,12,Viernes,Soleado,0,Bajo
Periférico,20,Jueves,Soleado,0,Bajo
Zona 1,9,Domingo,Soleado,1,Moderado
Calzada Roosevelt,17,Jueves,Soleado,0,Alto
Zona 10,13,Viernes,Lluvia,1,Alto
Periférico,13,Jueves,Nublado,0,Moderado
Zona 1,20,Lunes,Soleado,0,Moderado
Zona 4,18,Jueves,Soleado,0,Moderado
Zona 1,14,Sábado,Soleado,0,Bajo
Zona 12,11,Miércoles,Lluvia,0,Moderado
Periférico,2,Lunes,Soleado,1,Moderado
Zona 12,3,Viernes,Soleado,0,Bajo
Zona 10,19,Jueves,Soleado,0,Moderado
Periférico,15,Miércoles,Lluvia,0,Moderado
Calzada Roosevelt,2,Jueves,Soleado,0,Bajo
Zona 1,13,Miércoles,Lluvia,0,Moderado
Periférico,9,Martes,Lluvia,0,Alto
Zona 10,21,Miércoles,Soleado,0,Bajo
Zona 1,22,Martes,Soleado,0,Moderado
Zona 1,8,Domingo,Soleado,0,Moderado
Zona 12,17,Domingo,Nublado,0,Moderado
Periférico,7,Viernes,Lluvia,0,Alto
Zona 4,5,Martes,Nublado,0,Bajo
Zona 10,2,Sábado,Soleado,0,Bajo
Zona 12,6,Miércoles,Nublado,0,Alto
Calzada Roosevelt,3,Lunes,Soleado,0,Moderado
Periférico,10,Domingo,Lluvia,0,Moderado
Zona 1,16,Martes,Soleado,1,Alto
Zona 4,1,Martes,Nublado,0,Bajo
Zona 12,18,Martes,Soleado,0,Moderado
Zona 10,13,Miércoles,Soleado,0,Moderado
Zona 1,22,Jueves,Soleado,1,Moderado
Zona 12,2,Viernes,Soleado,0,Bajo
Calzada Roosevelt,2,Viernes,Soleado,0,Bajo
Calzada Roosevelt,14,Lunes,Nublado,0,Alto
Periférico,2,Miércoles,Lluvia,0,Moderado
Periférico,2,Sábado,Soleado,0,Bajo
Zona 12,8,Sábado,Soleado,1,Alto
Zona 4,2,Martes,Lluvia,0,Bajo
Zona 12,17,Domingo,Nublado,0,Moderado
Calzada Roosevelt,7,Sábado,Soleado,0,Moderado
Periférico,3,Sábado,Soleado,0,Bajo
Calzada Roosevelt,7,Domingo,Soleado,0,Moderado
Zona 10,14,Jueves,Nublado,1,Moderado
Zona 1,23,Domingo,Nublado,0,Bajo
Periférico,9,Sábado,Soleado,0,Moderado
Zona 12,14,Jueves,Nublado,0,Moderado
Zona 10,16,Viernes,Nublado,0,Alto
Zona 4,9,Viernes,Nublado,0,Moderado
Zona 10,23,Lunes,Soleado,0,Bajo
Zona 10,18,Domingo,Soleado,0,Moderado
Periférico,21,Lunes,Soleado,0,Bajo
Calzada Roosevelt,21,Sábado,Soleado,0,Bajo
Periférico,10,Miércoles,Soleado,0,Moderado
Periférico,0,Lunes,Soleado,1,Moderado
Zona 10,2,Viernes,Soleado,0,Bajo
Zona 1,6,Martes,Soleado,0,Alto
Periférico,10,Domingo,Lluvia,0,Moderado
Zona 1,8,Lunes,Nublado,0,Alto
Zona 4,19,Lunes,Nublado,0,Moderado
Zona 12,20,Martes,Nublado,0,Moderado
Zona 1,3,Miércoles,Soleado,0,Bajo
Calzada Roosevelt,1,Martes,Nublado,0,Moderado
Zona 4,7,Lunes,Soleado,0,Moderado
Zona 1,8,Viernes,Soleado,0,Moderado
Zona 4,7,Viernes,Nublado,0,Moderado
Periférico,6,Jueves,Soleado,1,Alto
Zona 4,5,Sábado,Soleado,0,Bajo
Zona 4,23,Domingo,Soleado,0,Bajo
Zona 10,7,Martes,Nublado,0,Alto
Zona 10,18,Miércoles,Nublado,1,Alto
Periférico,17,Lunes,Soleado,0,Alto
Zona 10,9,Martes,Nublado,0,Moderado
Periférico,20,Viernes,Soleado,0,Bajo
Calzada Roosevelt,13,Viernes,Soleado,0,Moderado
Zona 4,17,Miércoles,Soleado,0,Moderado
Periférico,8,Viernes,Lluvia,0,Alto
Calzada Roosevelt,9,Lunes,Nublado,0,Alto
Calzada Roosevelt,15,Domingo,Soleado,0,Bajo
Zona 4,10,Sábado,Soleado,0,Bajo
Calzada Roosevelt,3,Lunes,Soleado,0,Bajo
Zona 1,22,Lunes,Lluvia,0,Moderado
Zona 4,8,Miércoles,Nublado,0,Moderado
Zona 10,5,Miércoles,Soleado,0,Bajo
Calzada Roosevelt,6,Miércoles,Soleado,0,Moderado
Calzada Roosevelt,12,Viernes,Lluvia,0,Alto
Zona 10,8,Sábado,Soleado,0,Moderado
Zona 10,12,Miércoles,Soleado,0,Moderado
Periférico,1,Viernes,Lluvia,0,Moderado
Zona 1,19,Viernes,Lluvia,0,Alto
Zona 10,4,Viernes,Soleado,0,Bajo
Calzada Roosevelt,15,Sábado,Soleado,0,Moderado
Calzada Roosevelt,3,Martes,Soleado,0,Bajo
Zona 1,16,Domingo,Lluvia,0,Moderado
Zona 1,1,Martes,Nublado,0,Moderado
Zona 12,16,Miércoles,Lluvia,0,Alto
Zona 10,20,Martes,Soleado,0,Bajo
Zona 1,11,Viernes,Nublado,0,Moderado
Zona 4,7,Domingo,Nublado,0,Moderado
Zona 12,3,Jueves,Soleado,0,Bajo
Zona 4,14,Lunes,Lluvia,0,Moderado
Zona 12,20,Martes,Soleado,0,Bajo
Calzada Roosevelt,5,Viernes,Soleado,0,Moderado
Calzada Roosevelt,8,Miércoles,Soleado,0,Moderado
Zona 4,3,Miércoles,Lluvia,0,Bajo
Zona 12,1,Martes,Soleado,0,Bajo
Zona 1,14,Viernes,Soleado,0,Moderado
Zona 1,12,Miércoles,Soleado,0,Moderado
Zona 1,12,Miércoles,Nublado,0,Moderado
Periférico,7,Domingo,Soleado,0,Moderado
Zona 4,20,Jueves,Nublado,0,Bajo
Zona 10,12,Domingo,Soleado,0,Bajo
Zona 12,0,Miércoles,Soleado,0,Bajo
Periférico,20,Domingo,Soleado,0,Bajo
Zona 4,13,Miércoles,Nublado,0,Moderado
Zona 4,23,Lunes,Soleado,0,Bajo
Periférico,1,Miércoles,Nublado,0,Moderado
Zona 4,5,Sábado,Nublado,0,Bajo
Periférico,18,Sábado,Soleado,1,Alto
Calzada Roosevelt,17,Domingo,Nublado,0,Moderado
Zona 1,11,Sábado,Soleado,0,Moderado
Zona 4,23,Domingo,Soleado,0,Bajo
Periférico,1,Martes,Lluvia,0,Moderado
Zona 12,5,Martes,Lluvia,0,Bajo
Periférico,1,Miércoles,Lluvia,1,Alto
Zona 10,9,Sábado,Lluvia,0,Alto
Zona 12,18,Martes,Lluvia,0,Alto
Zona 12,12,Lunes,Soleado,0,Moderado
Calzada Roosevelt,6,Sábado,Soleado,0,Alto
Calzada Roosevelt,21,Domingo,Soleado,0,Bajo
Zona 4,18,Lunes,Nublado,0,Moderado
Zona 1,18,Sábado,Soleado,0,Moderado
Zona 12,17,Lunes,Soleado,0,Alto
Calzada Roosevelt,12,Miércoles,Soleado,0,Moderado
Calzada Roosevelt,13,Sábado,Soleado,0,Moderado
Zona 1,17,Domingo,Soleado,1,Alto
Zona 12,15,Miércoles,Nublado,0,Moderado
Zona 12,11,Miércoles,Soleado,1,Moderado
Zona 12,23,Viernes,Soleado,0,Bajo
Periférico,17,Martes,Soleado,1,Alto
Zona 10,22,Sábado,Soleado,0,Bajo
Zona 1,8,Jueves,Soleado,0,Moderado
Zona 10,9,Miércoles,Nublado,0,Moderado
Periférico,16,Miércoles,Soleado,0,Alto
Calzada Roosevelt,2,Sábado,Soleado,0,Bajo
Zona 10,17,Viernes,Lluvia,0,Alto
Zona 12,7,Lunes,Soleado,0,Alto
Zona 1,16,Miércoles,Lluvia,0,Alto
Periférico,23,Jueves,Lluvia,0,Moderado
Periférico,20,Domingo,Nublado,0,Bajo
Zona 4,10,Martes,Soleado,0,Bajo
Periférico,15,Domingo,Nublado,0,Moderado
Zona 4,11,Miércoles,Soleado,0,Bajo
Zona 4,16,Viernes,Nublado,0,Moderado
Zona 12,15,Domingo,Soleado,0,Bajo
Periférico,12,Jueves,Nublado,0,Alto
Zona 12,1,Martes,Soleado,0,Bajo
Periférico,6,Domingo,Lluvia,1,Alto
Zona 12,21,Sábado,Soleado,0,Bajo
Zona 1,18,Martes,Soleado,0,Alto
Zona 10,6,Martes,Soleado,0,Moderado
Calzada Roosevelt,15,Domingo,Soleado,0,Bajo
Zona 12,16,Sábado,Lluvia,0,Alto
Zona 10,5,Sábado,Soleado,0,Bajo
Zona 12,10,Viernes,Lluvia,0,Moderado
Zona 4,14,Domingo,Lluvia,0,Bajo
Zona 10,13,Domingo,Nublado,0,Bajo
Zona 10,5,Miércoles,Nublado,0,Bajo
Zona 4,16,Viernes,Soleado,0,Moderado
Periférico,4,Sábado,Soleado,0,Bajo
Calzada Roosevelt,13,Miércoles,Soleado,0,Moderado
Calzada Roosevelt,21,Jueves,Soleado,0,Bajo
Zona 10,1,Domingo,Soleado,0,Bajo
Zona 4,5,Jueves,Soleado,0,Bajo
Zona 4,1,Martes,Soleado,0,Bajo
Zona 4,17,Sábado,Soleado,0,Moderado
Calzada Roosevelt,0,Domingo,Lluvia,0,Bajo
Zona 4,5,Domingo,Soleado,0,Bajo
Zona 12,6,Viernes,Nublado,0,Alto
Zona 10,11,Lunes,Lluvia,1,Alto
Zona 12,18,Lunes,Nublado,1,Alto
Periférico,17,Martes,Nublado,0,Alto
Zona 1,4,Miércoles,Nublado,0,Moderado
Zona 12,19,Lunes,Nublado,0,Moderado
Zona 4,19,Sábado,Lluvia,0,Alto
